id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-07-02T07:28:37;Loop;CANCELED;PAYPAL;2022-07-02T01:49:02;22604
2;calculating;2022-07-02T07:57:00;haptic 1080p;ISSUED;PAYPAL;2022-07-01T19:10:40;10489
3;national Frozen Berkshire;2022-07-02T08:11:50;Account Borders Home;PAID;CREDIT_CARD;2022-07-01T22:54:41;36325
4;monitor;2022-07-01T18:14:26;parse intuitive Division;CANCELED;PAYPAL;2022-07-01T19:49:27;13687
5;synergy transmitting;2022-07-01T18:16:41;parse Gloves;ISSUED;PAYPAL;2022-07-02T02:53:19;92472
6;function;2022-07-01T23:10:09;Fresh;CANCELED;CASH_ON_DELIVERY;2022-07-02T10:17:10;26944
7;Maine;2022-07-02T09:36:32;RAM;ISSUED;PAYPAL;2022-07-02T14:38:24;32458
8;Analyst Agent;2022-07-02T13:31:14;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-07-02T10:32:56;79389
9;Salad;2022-07-01T19:39:56;Gorgeous;ISSUED;CREDIT_CARD;2022-07-02T04:26:20;62169
10;Pants Wooden Intuitive;2022-07-02T05:03:53;array Arizona Vermont;CANCELED;CASH_ON_DELIVERY;2022-07-02T00:58:30;58737
